City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,akom ii,2.7833,10.5667,70.54,99,83,3.15,CM,2023-07-17
291,wainwright,52.839,-110.8572,76.08,49,100,23.38,CA,2023-07-17
292,conception bay south,47.4999,-52.9981,79.75,87,38,10.36,CA,2023-07-17
293,kirakira,-10.4544,161.9205,83.03,76,86,5.79,SB,2023-07-17
294,medina,24.4686,39.6142,102.63,10,0,8.05,SA,2023-07-17
295,carnot,4.9409,15.8665,71.06,92,11,2.62,CF,2023-07-17
296,uruacu,-14.5247,-49.1408,77.36,37,10,3.0,BR,2023-07-17
297,maputo,-25.9653,32.5892,58.68,82,0,3.44,MZ,2023-07-17
298,esperanza,19.5847,-70.9849,86.58,72,44,8.99,DO,2023-07-17
299,vila franca do campo,37.7167,-25.4333,66.61,81,82,2.91,PT,2023-07-17
300,keflavik,64.0049,-22.5624,50.43,87,0,10.36,IS,2023-07-17
301,nianzishan,47.5167,122.8833,70.79,77,82,3.78,CN,2023-07-17
302,laguna,38.421,-121.4238,108.32,28,0,6.91,US,2023-07-17
303,valley city,46.9233,-98.0032,72.12,49,20,6.91,US,2023-07-17
304,haiku-pauwela,20.9219,-156.3051,86.16,66,40,25.32,US,2023-07-17
305,yaren,-0.5472,166.916,83.66,74,17,5.01,NR,2023-07-17
306,chonchi,-42.6128,-73.8092,38.41,86,23,0.83,CL,2023-07-17
307,leticia,-4.2153,-69.9406,86.05,70,20,3.44,CO,2023-07-17
308,yanbu,24.0891,38.0637,93.24,33,0,11.5,SA,2023-07-17
309,quellon,-43.1167,-73.6167,34.05,93,0,2.3,CL,2023-07-17
310,manga,11.6636,-1.0731,83.12,65,100,6.55,BF,2023-07-17
311,bikenibeu village,1.3673,173.1241,84.16,84,75,3.44,KI,2023-07-17
312,berezovyy,51.6667,135.7,78.1,56,5,1.61,RU,2023-07-17
313,wulingyuan,29.3494,110.5441,73.47,89,98,2.08,CN,2023-07-17
314,kem',64.9555,34.5793,60.94,84,99,7.34,RU,2023-07-17
315,sambava,-14.2667,50.1667,70.12,87,45,10.76,MG,2023-07-17
316,san rafael del sur,11.8485,-86.4384,81.57,74,99,13.0,NI,2023-07-17
317,koppal,15.35,76.15,73.51,84,100,17.11,IN,2023-07-17
318,port lincoln,-34.7333,135.8667,55.9,72,77,12.93,AU,2023-07-17
319,rawah,34.4816,41.9093,89.46,14,0,9.73,IQ,2023-07-17
320,immokalee,26.4187,-81.4173,87.91,78,0,0.0,US,2023-07-17
321,greymouth,-42.4667,171.2,53.13,87,61,0.81,NZ,2023-07-17
322,nueva gerona,21.8833,-82.8,89.33,57,27,7.96,CU,2023-07-17
323,marica,-22.9194,-42.8186,71.55,86,36,2.77,BR,2023-07-17
324,pavlodar,52.3,76.95,64.2,68,0,8.95,KZ,2023-07-17
325,mariinsk,56.2139,87.7472,58.6,92,74,1.12,RU,2023-07-17
326,can tho,10.0333,105.7833,78.78,100,75,5.75,VN,2023-07-17
327,jolo,6.05,121.0167,78.91,89,100,3.36,PH,2023-07-17
328,san rafael del yuma,18.4299,-68.6739,83.77,87,98,9.15,DO,2023-07-17
329,severo-yeniseyskiy,60.3725,93.0408,49.28,67,14,1.57,RU,2023-07-17
